french,wolof
"Généalogie de Jésus Christ, fils de David, fils d`Abraham.","Lii mooy cosaanu Yeesu Kirist, sëtu Daawuda, sëtu Ibraayma."
Abraham engendra Isaac; Isaac engendra Jacob; Jacob engendra Juda et ses frères;,Ibraayma moo jur Isaaxa; Isaaxa jur Yanqóoba; Yanqóoba jur Yuda ak i doomi baayam;
Juda engendra de Thamar Pharès et Zara; Pharès engendra Esrom; Esrom engendra Aram;,"Yuda, Fares ak Sara ci Tamar; Fares Esrom, miy baayu Aram;"
Aram engendra Aminadab; Aminadab engendra Naasson; Naasson engendra Salmon;,Aram Aminadab; Aminadab Naason; Naason Salmon;
Salmon engendra Boaz de Rahab; Boaz engendra Obed de Ruth;,"Salmon jur ci Raxab doom ju tudd Bowas; Bowas am ak Ruut Obedd; Obedd jur Yese,"
Obed engendra Isaï; Isaï engendra David. Le roi David engendra Salomon de la femme d`Urie;,miy baayu buur bi Daawuda. Daawuda moo jur Suleymaan ci ki nekkoon jabari Uri;
Salomon engendra Roboam; Roboam engendra Abia; Abia engendra Asa;,Suleymaan jur Robowam; Robowam Abiya; Abiya Asaf;
Asa engendra Josaphat; Josaphat engendra Joram; Joram engendra Ozias;,"Asaf Yosafat; Yosafat Yoram, miy baayu Osiyas;"
Ozias engendra Joatham; Joatham engendra Achaz; Achaz engendra Ézéchias;,"Osiyas jur Yowatam; Yowatam Akas, miy baayu Esekiyas;"
Ézéchias engendra Manassé; Manassé engendra Amon; Amon engendra Josias;,Esekiyas Manase; Manase Amon; Amon Yosiyas;
"Josias engendra Jéchonias et ses frères, au temps de la déportation à Babylone.","Yosiyas jur Yekoñas ak i doomi baayam ca jamono, ja ñu defe Yawut ya jaam, yóbbu leen Babilon."
"Après la déportation à Babylone, Jéchonias engendra Salathiel; Salathiel engendra Zorobabel;","Ba ñu leen yóbboo ca Babilon, Yekoñas jur Salacel; Salacel Sorobabel,"
Zorobabel engendra Abiud; Abiud engendra Éliakim; Éliakim engendra Azor;,miy baayu Abiyudd; Abiyudd Eliyakim; Eliyakim Asor;
Azor engendra Sadok; Sadok engendra Achim; Achim engendra Éliud;,Asor Sadog; Sadog Akim; Akim Eliyudd;
Éliud engendra Éléazar; Éléazar engendra Matthan; Matthan engendra Jacob;,"Eliyudd Eleyasar; Eleyasar Matan, miy baayu Yanqóoba;"
"Jacob engendra Joseph, l`époux de Marie, de laquelle est né Jésus, qui est appelé Christ.","Yanqóoba nag moo jur Yuusufa jëkkëru Maryaama; te ci Maryaama la Yeesu, mi ñuy wax Kirist, juddoo."
"Il y a donc en tout quatorze générations depuis Abraham jusqu`à David, quatorze générations depuis David jusqu`à la déportation à Babylone, et quatorze générations depuis la déportation à Babylone jusqu`au Christ.","Mboolem giir googu nag, la dale ca Ibraayma ba ca Daawuda, fukk lañu ak ñeent; la dale ca Daawuda ba ca njaam ga ca Babilon, fukk lañu ak ñeent; la dale njaam ga ca Babilon ba ci Kirist, fukk lañu ak ñeent."
"Voici de quelle manière arriva la naissance de Jésus Christ. Marie, sa mère, ayant été fiancée à Joseph, se trouva enceinte, par la vertu du Saint Esprit, avant qu`ils eussent habité ensemble.","Nii la Yeesu Kirist juddoo. Bi ñu mayee Maryaama ndeyam Yuusufa, waaye laata ñoo ànd, gis nañu ne dafa ëmb ci kàttanu Xel mu Sell mi."
"Joseph, son époux, qui était un homme de bien et qui ne voulait pas la diffamer, se proposa de rompre secrètement avec elle.","Yuusufa jëkkëram nag, nekkoon na nit ku jub te bëggu ko woon a weer. Mu nar a xàccook moom ci sutura."
"Comme il y pensait, voici, un ange du Seigneur lui apparut en songe, et dit: Joseph, fils de David, ne crains pas de prendre avec toi Marie, ta femme, car l`enfant qu`elle a conçu vient du Saint Esprit;","Waaye bi muy xalaat ci loolu, benn malaakam Boroom bi daldi ko feeñu ci gént ne ko: «Yaw Yuusufa, sëtu Daawuda, bul ragal a yeggali Maryaama sa jabar, ndaxte doom ji mu ëmb, ci Xel mu Sell mi la jóge."
"elle enfantera un fils, et tu lui donneras le nom de Jésus; c`est lui qui sauvera son peuple de ses péchés.","Dina jur doom ju góor; na nga ko tudde Yeesu, ndaxte moo di kiy musal xeetam ci seeni bàkkaar.»"
Tout cela arriva afin que s`accomplît ce que le Seigneur avait annoncé par le prophète:,"Loolu lépp xewoon na, ngir amal li Boroom bi wax, jaarale ko cib yonent, bi mu naan:"
"Voici, la vierge sera enceinte, elle enfantera un fils, et on lui donnera le nom d`Emmanuel, ce qui signifie Dieu avec nous.","«Janq bi dina ëmb,jur doom ju góor,ñu tudde ko Emanuwel,» liy tekki «Yàlla ganesi na nu.»"
"Joseph s`étant réveillé fit ce que l`ange du Seigneur lui avait ordonné, et il prit sa femme avec lui.","Noonu Yuusufa yeewu, yeggali jabaram, na ko ko malaakam Boroom bi sante woon."
"Mais il ne la connut point jusqu`à ce qu`elle eût enfanté un fils, auquel il donna le nom de Jésus.","Waaye àndul ak moom, ba kera mu mucc, jur doom ju góor; mu tudde ko Yeesu."
"Jésus étant né à Bethléhem en Judée, au temps du roi Hérode, voici des mages d`Orient arrivèrent à Jérusalem,","Bi nga xamee ne Yeesu juddu na ci Betleyem ci diiwaanu Yude, amoon na ay boroom xam-xam, ñu jóge penku, ñëw Yerusalem. Booba, ci jamonoy buur bi Erodd la woon."
"et dirent: Où est le roi des Juifs qui vient de naître? car nous avons vu son étoile en Orient, et nous sommes venus pour l`adorer.",Ñu ne: «Ana buur bi juddul Yawut yi? Ndaxte gis nanu biddiiwam ci penku te ñëw nanu ngir màggal ko.»
"Le roi Hérode, ayant appris cela, fut troublé, et tout Jérusalem avec lui.","Bi ko Erodd buur ba déggee, mu daldi jaaxle, moom ak waa Yerusalem gépp."
"Il assembla tous les principaux sacrificateurs et les scribes du peuple, et il s`informa auprès d`eux où devait naître le Christ.","Mu woolu nag saraxalekat yu mag yépp ak xutbakati xeet wa, laaj leen fu Almasi bi, maanaam Kirist, war a juddoo."
Ils lui dirent: A Bethléhem en Judée; car voici ce qui a été écrit par le prophète:,"Ñu ne ko: «Ca Betleyem ci diiwaanu Yude, ndaxte lii lañu bind jaarale ko cib yonent:"
"Et toi, Bethléhem, terre de Juda, Tu n`es certes pas la moindre entre les principales villes de Juda, Car de toi sortira un chef Qui paîtra Israël, mon peuple.","“Yaw Betleyem ci diiwaanu Yude,du yaw yaa yées ci njiiti Yude,ndaxte ci yaw la njiit di génne,kiy sàmm Israyil sama xeet.”»"
